Year,Sea_Level,Temp,Co2
1993,327401.31,5.738,
1994,330850.31,6.788,
1995,329359.09,6.761,
1996,330140.19,6.547,
1997,324582.19,6.841,
1998,329425.69,6.404,
1999,328334.91,6.592,
2000,330375.91,5.804,
2001,330595.41,5.976,
2002,333642.09,5.274,
2003,337325.31,5.516,
2004,339370.19,6.23,
2005,339411.31,6.183,
2006,334979.59,5.501,
2007,336003.69,5.207,
2008,334840.09,5.272,
2009,335242.09,6.236,
2010,337393.41,5.318,
2011,338228.31,5.964,
2012,336965.19,5.521,
2013,336127.41,6.024,
2014,336316.31,5.759,
2015,336700.81,6.216,
2016,334690.41,5.596,
2017,337975.19,5.82,
2018,338088.69,5.683,
2019,335971.91,5.489,
2020,335779.41,5.566,
2021,337833.69,5.864,